League;country;qtd_jogos;qtd_stats_true;media_goals_total_ft;cv_goals_total;conv_rate;goal_asymmetry;open_game_index;media_goals_home_ft;media_goals_away_ft;home_bias;freq_btts;freq_no_goal;qtd_zebra_away;freq_zebra_away_score;qtd_zebra_home;freq_zebra_home_score;zebra_index
Spain Segunda Division RFEF Group 3;Spain;273,0;272,0;2,47;0,67;0,14;0,43;0,81;1,45;1,02;0,59;0,53;0,47;25,0;0,44;2,0;0,5;0,47
Paraguay Division Profesional;Paraguay;272,0;272,0;2,5;0,67;0,11;0,21;0,83;1,35;1,15;0,54;0,5;0,5;35,0;0,57;11,0;0,64;0,6
Brazil Paulista Cup;Brazil;271,0;271,0;2,0;0,71;0,1;0,27;0,58;1,13;0,86;0,57;0,4;0,6;29,0;0,48;1,0;0,0;0,24
England EFL Trophy;England;269,0;269,0;3,4;0,54;0,14;0,44;1,55;1,92;1,48;0,56;0,62;0,38;57,0;0,75;6,0;0,67;0,71
Argentina Youth League;Argentina;267,0;267,0;2,96;0,57;0,13;0,48;1,27;1,72;1,24;0,58;0,55;0,45;16,0;0,44;1,0;1,0;0,72
Serbia Prva Liga;Serbia;266,0;266,0;2,24;0,66;0,11;0,38;0,76;1,31;0,93;0,58;0,45;0,55;36,0;0,58;0,0;0,0;0,29
Sierra Leone Premier League;Sierra Leone;265,0;244,0;2,06;0,78;0,21;0,14;0,46;1,1;0,96;0,53;0,42;0,58;21,0;0,52;3,0;0,0;0,26
Romania Liga II;Romania;264,0;264,0;2,68;0,62;0,13;0,37;1,03;1,53;1,16;0,57;0,49;0,51;44,0;0,5;16,0;0,56;0,53
Kenya Premier League;Kenya;264,0;262,0;2,0;0,71;0,1;0,03;0,58;1,02;0,98;0,51;0,43;0,57;15,0;0,53;3,0;0,67;0,6
El Salvador Reserves League;El Salvador;264,0;264,0;3,29;0,64;0,15;0,42;1,2;1,86;1,43;0,56;0,62;0,38;44,0;0,66;10,0;0,8;0,73
Spain Tercera Group 7;Spain;260,0;260,0;2,62;0,7;0,13;0,07;0,78;1,34;1,28;0,51;0,55;0,45;18,0;0,67;2,0;1,0;0,83
Portugal Cup;Portugal;260,0;259,0;2,83;0,62;0,14;0,34;1,09;1,59;1,25;0,56;0,47;0,53;61,0;0,41;71,0;0,55;0,48
European U19 Championship Qual;International (Europe);260,0;259,0;2,88;0,58;0,14;0,39;1,2;1,63;1,25;0,57;0,4;0,6;100,0;0,37;42,0;0,45;0,41
