DATA,Time,BTTS,IN LIVE?,Odd J,Odd M,Juice,EV,Stake,Lucro Max,Profit,Jogo,Liga,Região,Match ID,%_ProbMod,OBS
02/05/2026,00:00,Sim,,"2,12","2,50","0,00%","17,92%","R$ 1,00","1,50","-R$ 1,00",Brasil de Pelotas vs Marcilio Dias,,,,"47,17%",
02/05/2026,00:00,Sim,,"2,11","2,10","0,00%","-0,47%","R$ 1,00","1,10","-R$ 1,00",Noroeste vs Marica,,,,"47,39%",
02/05/2026,00:00,Sim,,"2,13","2,20","0,00%","3,29%","R$ 1,00","1,20","R$ 1,20",Goiatuba vs Uniao Rondonopolis,,,,"46,95%",
03/05/2026,00:00,Sim,,"1,95","1,90","0,00%","-2,56%","R$ 1,00","0,90","R$ 0,90",Ningbo Professional FC vs Changchun Yatai,,,,"51,28%",
03/05/2026,00:00,Sim,,"1,75","1,80","0,00%","2,86%","R$ 1,00","0,80","-R$ 1,00",Daegu FC vs Gyeongnam FC,,,,"57,14%",
03/05/2026,00:00,Sim,,"1,92","1,90","0,00%","-1,04%","R$ 1,00","0,90","R$ 0,90",Seoul E-Land FC vs Gimpo FC,,,,"52,08%",
03/05/2026,00:00,Sim,,"2,11","2,00","0,00%","-5,21%","R$ 1,00","1,00","-R$ 1,00",Matsumoto Y FC vs Ventforet Kofu,,,,"47,39%",
03/05/2026,00:00,Sim,,"1,71","1,83","0,00%","7,02%","R$ 1,00","0,83","-R$ 1,00",Vanraure Hachinohe vs Thespa Gunma,,,,"58,48%",
03/05/2026,00:00,Sim,,"1,74","1,80","0,00%","3,45%","R$ 1,00","0,80","R$ 0,80",Portimonense vs Chaves,,,,"57,47%",
03/05/2026,00:00,Sim,,"1,78","1,83","0,00%","2,81%","R$ 1,00","0,83","-R$ 1,00",Austria Lustenau vs SW Bregenz,,,,"56,18%",
03/05/2026,00:00,Sim,,"1,77","1,80","0,00%","1,69%","R$ 1,00","0,80","-R$ 1,00",Randers FC vs Vejle,,,,"56,50%",
03/05/2026,00:00,Sim,,"2,12","2,10","0,00%","-0,94%","R$ 1,00","1,10","-R$ 1,00",Riga FC vs FK Liepaja,,,,"47,17%",
03/05/2026,00:00,Sim,,"2,09","1,95","0,00%","-6,70%","R$ 1,00","0,95","-R$ 1,00",Zaglebie Lubin vs Cracovia Krakow,,,,"47,85%",
03/05/2026,00:00,Sim,,"1,86","1,80","0,00%","-3,23%","R$ 1,00","0,80","R$ 0,80",St Pauli vs Mainz,,,,"53,76%",
03/05/2026,00:00,Sim,,"1,89","1,90","0,00%","0,53%","R$ 1,00","0,90","-R$ 1,00",SGS Essen (W) vs Bayer Leverkusen (W),,,,"52,91%",
03/05/2026,00:00,Sim,,"1,84","2,00","0,00%","8,70%","R$ 1,00","1,00","-R$ 1,00",Merida vs Lugo,,,,"54,35%",
03/05/2026,00:00,Sim,,"1,98","1,95","0,00%","-1,52%","R$ 1,00","0,95","-R$ 1,00",Bologna vs Cagliari,,,,"50,51%",
03/05/2026,00:00,Sim,S,"1,96","1,95","0,00%","-0,51%","R$ 1,00","0,95","-R$ 1,00",Antwerp vs Standard Liege,,,,"51,02%",
03/05/2026,00:00,Sim,S,"1,98","2,10","0,00%","6,06%","R$ 1,00","1,10","-R$ 1,00",Apoel Nicosia vs AEK Larnaca,,,,"50,51%",
03/05/2026,00:00,Sim,,"1,75","1,95","0,00%","11,43%","R$ 1,00","0,95","-R$ 1,00",Real Betis vs Real Oviedo,,,,"57,14%",
03/05/2026,00:00,Sim,,"2,14","2,20","0,00%","2,80%","R$ 1,00","1,20","R$ 1,20",Sabadell vs Real Murcia,,,,"46,73%",
03/05/2026,00:00,Sim,S,"1,91","2,10","0,00%","9,95%","R$ 1,00","1,10","R$ 1,10",Assyriska Föreningen vs FC Järfälla,,,,"52,36%",
