League;country;qtd_jogos;qtd_stats_true;media_goals_total_ft;cv_goals_total;conv_rate;goal_asymmetry;open_game_index;media_goals_home_ft;media_goals_away_ft;home_bias;freq_btts;freq_no_goal;qtd_zebra_away;freq_zebra_away_score;qtd_zebra_home;freq_zebra_home_score;zebra_index;btts_equilibrado;btts_favorito;btts_super_fav;btts_hiper_fav
Japan University Championship;Japan;39,0;39,0;2,69;0,58;0,15;0,28;1,13;1,49;1,21;0,55;0,51;0,49;2,0;0,0;1,0;1,0;0,5;0,47;0,5;0,51;0,51
U23 International Women;International (World);39,0;39,0;2,62;0,64;0,14;0,46;0,94;1,54;1,08;0,59;0,49;0,51;8,0;0,62;1,0;1,0;0,81;0,56;0,5;0,49;0,67
Switzerland Division 1 Women;Switzerland;39,0;39,0;2,82;0,58;0,12;0,92;1,18;1,87;0,95;0,66;0,44;0,56;11,0;0,27;3,0;0,67;0,47;0,6;0,33;0,62;0,27
Brazil Campeonato Matogrossense;Brazil;39,0;37,0;1,92;0,83;0,11;0,08;0,33;0,92;1,0;0,48;0,36;0,64;7,0;0,43;4,0;0,5;0,46;0,36;0,35;0,33;0,36
Kuwait Cup;Kuwait;39,0;39,0;2,79;0,54;0,13;0,74;1,29;1,77;1,03;0,63;0,64;0,36;18,0;0,61;0,0;0,0;0,31;0,71;0,5;0,7;0,6
India Regional Cup;India;39,0;39,0;3,21;0,6;0,14;0,08;1,28;1,56;1,64;0,49;0,51;0,49;2,0;0,0;3,0;0,67;0,33;0,45;0,56;0,54;0,51
Northern Ireland Premier League Women;North Ireland;39,0;39,0;3,62;0,61;0,23;0,13;1,41;1,74;1,87;0,48;0,36;0,64;14,0;0,57;10,0;0,4;0,49;0,36;0,12;0,36;0,48
France U19 League Women;France;39,0;39,0;3,72;0,57;0,21;0,28;1,62;2,0;1,72;0,54;0,64;0,36;12,0;0,58;6,0;0,5;0,54;0,64;0,62;0,91;0,3
Burundi Premier League;Burundi;38,0;36,0;2,87;0,53;0,33;0,24;1,34;1,55;1,32;0,54;0,63;0,37;6,0;0,5;4,0;0,5;0,5;0,63;0,47;0,56;0,63
Faroe Islands Cup;Faroe Islands;38,0;38,0;3,26;0,62;0,17;0,53;1,24;1,89;1,37;0,58;0,53;0,47;7,0;0,43;8,0;0,62;0,53;0,4;0,86;0,5;0,45
Gulf Club Champions League;International (North & Central America);38,0;38,0;2,97;0,75;0,16;0,66;0,74;1,82;1,16;0,61;0,58;0,42;10,0;0,7;4,0;0,75;0,72;0,58;0,62;0,67;0,58
El Salvador Cup;El Salvador;38,0;38,0;2,68;0,61;0,14;0,47;1,05;1,11;1,58;0,41;0,58;0,42;6,0;0,83;5,0;0,8;0,82;0,57;0,44;0,58;0,78
Brazil Copa Rio U20;Brazil;38,0;38,0;3,13;0,59;0,14;0,76;1,28;1,95;1,18;0,62;0,45;0,55;9,0;0,33;5,0;0,2;0,27;0,33;0,62;0,56;0,33
Lithuania Cup;Lithuania;38,0;38,0;3,26;0,52;0,14;1,21;1,56;1,03;2,24;0,31;0,53;0,47;1,0;1,0;14,0;0,36;0,68;0,53;0,6;0,57;0,42
Netherlands Cup Women;Netherlands;38,0;38,0;3,18;0,49;0,14;0,18;1,63;1,68;1,5;0,53;0,55;0,45;7,0;0,29;10,0;0,8;0,54;0,83;0,62;0,5;0,42
New Zealand National League Women;New Zealand;38,0;38,0;4,26;0,62;0,18;0,79;1,64;2,53;1,74;0,59;0,47;0,53;13,0;0,38;5,0;0,6;0,49;0,33;0,5;0,67;0,4
Syria Cup;Syria;38,0;38,0;2,53;0,59;0,14;0,58;1,04;1,55;0,97;0,61;0,45;0,55;7,0;0,43;3,0;0,33;0,38;0,55;0,42;0,5;0,45
CONCACAF Women Champions Cup;International (North & Central America);38,0;37,0;3,84;0,62;0,17;0,58;1,48;2,21;1,63;0,58;0,26;0,74;14,0;0,21;10,0;0,2;0,21;0,26;0,33;0,26;0,18
U19 International Women;International (World);37,0;37,0;2,32;0,57;0,12;0,16;1,01;1,24;1,08;0,53;0,43;0,57;6,0;0,67;3,0;0,0;0,33;0,67;0,42;0,43;0,43
Montenegro Cup;Montenegro;37,0;37,0;2,54;0,62;0,14;0,11;0,97;1,22;1,32;0,48;0,41;0,59;9,0;0,78;5,0;0,2;0,49;0,5;0,33;0,25;0,62
Brazil Copa Espirito Santo;Brazil;37,0;37,0;3,05;0,46;0,14;0,68;1,64;1,86;1,19;0,61;0,57;0,43;9,0;0,56;5,0;0,4;0,48;0,88;0,58;0,22;0,62
AFC U20 Asian Cup Women;International (Asia);37,0;37,0;4,3;0,66;0,19;0,95;1,44;2,62;1,68;0,61;0,38;0,62;13,0;0,46;6,0;0,17;0,31;0,38;0,33;0,38;0,37
India League Women;India;37,0;37,0;3,16;0,58;0,14;0,51;1,33;1,32;1,84;0,42;0,54;0,46;10,0;0,7;8,0;0,38;0,54;0,54;0,45;0,57;0,57
Israel Cup Women;Israel;37,0;37,0;2,81;0,78;0,13;0,16;0,61;1,49;1,32;0,53;0,32;0,68;13,0;0,46;12,0;0,33;0,4;0,32;0,25;0,1;0,44
Brazil Campeonato Pernambucano;Brazil;37,0;37,0;2,92;0,54;0,12;0,38;1,33;1,65;1,27;0,56;0,41;0,59;11,0;0,36;4,0;1,0;0,68;0,41;0,43;0,4;0,29
India Delhi Premier League;India;37,0;37,0;2,97;0,59;0,15;0,11;1,23;1,54;1,43;0,52;0,62;0,38;5,0;1,0;1,0;1,0;1,0;0,71;0,6;0,75;0,62
CECAFA Club Cup;International (Africa);37,0;37,0;2,14;0,7;0,12;0,3;0,64;1,22;0,92;0,57;0,43;0,57;13,0;0,54;0,0;0,0;0,27;0,56;0,4;0,44;0,43
Portugal U19 2nd Division;Portugal;37,0;37,0;3,14;0,58;0,19;0,05;1,32;1,59;1,54;0,51;0,41;0,59;9,0;0,33;1,0;1,0;0,67;0,54;0,17;0,57;0,43
Brazil Campeonato Maranhense;Brazil;36,0;35,0;1,86;0,8;0,1;0,03;0,37;0,92;0,94;0,49;0,28;0,72;6,0;0,33;1,0;0,0;0,17;0,33;0,21;0,28;0,28
Brazil Copa Sul-Sudeste;Brazil;36,0;36,0;2,61;0,59;0,11;0,28;1,08;1,44;1,17;0,55;0,64;0,36;0,0;0,0;0,0;0,0;0,0;0,83;0,56;0,64;0,64
Thailand U21 League;Thailand;36,0;35,0;2,69;0,71;0,11;0,03;0,78;1,33;1,36;0,49;0,47;0,53;6,0;0,33;4,0;0,75;0,54;0,5;0,44;0,5;0,47
Japan JFL Cup;Japan;36,0;36,0;2,19;0,72;0,1;0,03;0,61;1,08;1,11;0,49;0,39;0,61;0,0;0,0;0,0;0,0;0,0;0,21;0,69;0,39;0,39
Campeonato Potiguar;Brazil;36,0;36,0;2,92;0,63;0,12;0,36;1,07;1,64;1,28;0,56;0,58;0,42;11,0;0,73;6,0;0,33;0,53;0,57;0,43;0,54;0,83
COSAFA Cup Women;International (Africa);36,0;36,0;2,67;0,82;0,15;0,67;0,48;1,67;1,0;0,62;0,33;0,67;20,0;0,45;5,0;0,0;0,22;0,33;0,33;0,17;0,4
Denmark Womens Cup;Denmark;36,0;36,0;3,47;0,57;0,17;0,19;1,51;1,64;1,83;0,47;0,53;0,47;6,0;0,33;16,0;0,56;0,45;0,53;0,89;0,67;0,36
Kenya Cup;Kenya;36,0;36,0;2,03;0,67;0,1;0,19;0,67;0,92;1,11;0,45;0,33;0,67;4,0;0,75;4,0;0,5;0,62;0,44;0,09;0,43;0,33
ASEAN Club Championship;International (Asia);36,0;36,0;3,44;0,4;0,16;0,61;2,08;2,03;1,42;0,59;0,69;0,31;10,0;0,4;2,0;0,5;0,45;0,83;0,8;0,83;0,33
Portugal League Cup Women;Portugal;35,0;35,0;2,86;0,62;0,14;0,11;1,07;1,49;1,37;0,52;0,49;0,51;11,0;0,27;9,0;0,78;0,53;0,49;0,62;0,49;0,44
Scotland SWPL Cup Women;Scotland;35,0;35,0;4,69;0,55;0,22;0,51;2,1;2,6;2,09;0,55;0,51;0,49;11,0;0,27;6,0;0,5;0,39;0,88;0,51;0,51;0,31
Scotland Women FA Cup;Scotland;35,0;35,0;3,54;0,49;0,16;0,23;1,8;1,66;1,89;0,47;0,49;0,51;9,0;0,44;8,0;0,5;0,47;0,67;0,56;0,49;0,44
Norway Cup Women;Norway;35,0;35,0;3,29;0,48;0,15;0,77;1,7;1,26;2,03;0,38;0,49;0,51;7,0;0,57;17,0;0,29;0,43;0,49;0,49;0,82;0,22
South American U20 Championship Women;International (South America);35,0;35,0;2,74;0,65;0,17;0,0;0,97;1,37;1,37;0,5;0,26;0,74;8,0;0,12;6,0;0,33;0,23;0,29;0,22;0,26;0,2
U21 International;International (World);35,0;35,0;2,34;0,65;0,12;0,29;0,83;1,31;1,03;0,56;0,43;0,57;7,0;0,43;2,0;0,0;0,21;0,64;0,29;0,5;0,43
Brazil Campeonato Paranaense 2;Brazil;35,0;34,0;2,89;0,82;0,14;0,66;0,52;1,77;1,11;0,61;0,51;0,49;9,0;0,56;2,0;0,0;0,28;0,38;0,71;0,4;0,51
Bangladesh Championship League;Bangladesh;35,0;35,0;2,37;0,72;0,16;0,14;0,65;1,26;1,11;0,53;0,4;0,6;2,0;0,5;2,0;0,5;0,5;0,33;0,47;0,4;0,4
Bahrain Cup;Bahrain;35,0;35,0;3,63;0,51;0,2;0,31;1,76;1,97;1,66;0,54;0,6;0,4;8,0;0,75;4,0;0,25;0,5;0,6;0,64;0,67;0,43
Brazil Copa Goias U20;Brazil;35,0;35,0;1,91;0,81;0,09;0,6;0,37;1,26;0,66;0,66;0,29;0,71;2,0;0,0;0,0;0,0;0,0;0,36;0,38;0,29;0,29
Republic of Ireland FAI Intermediate Cup;Ireland;34,0;34,0;2,82;0,66;0,13;0,06;0,97;1,44;1,38;0,51;0,47;0,53;3,0;0,67;1,0;1,0;0,83;0,56;0,33;0,47;0,47
South Africa Second League Women;South Africa;34,0;34,0;2,85;0,62;0,13;0,5;1,08;1,68;1,18;0,59;0,56;0,44;5,0;0,2;3,0;1,0;0,6;0,8;0,58;0,17;0,56
Armenian Cup;Armenia;34,0;34,0;2,94;0,58;0,17;0,59;1,24;1,18;1,76;0,4;0,44;0,56;6,0;0,5;4,0;0,25;0,38;0,38;0,45;0,29;0,57
Brazil Campeonato Alagoano;Brazil;34,0;34,0;2,06;0,65;0,11;0,35;0,71;1,21;0,85;0,59;0,32;0,68;10,0;0,1;3,0;0,67;0,38;0,62;0,23;0,32;0,25
Poland Cup Women;Poland;33,0;33,0;3,36;0,54;0,13;0,94;1,55;1,21;2,15;0,36;0,52;0,48;4,0;0,0;16,0;0,62;0,31;0,67;0,52;0,5;0,47
Nicaragua Cup;Nicaragua;33,0;33,0;3,36;0,56;0,15;0,94;1,5;2,15;1,21;0,64;0,48;0,52;15,0;0,47;3,0;0,67;0,57;0,48;0,62;0,5;0,45
Brazil Campeonato Goiano 3;Brazil;33,0;33,0;3,12;0,74;0,12;0,58;0,81;1,27;1,85;0,41;0,48;0,52;7,0;0,71;7,0;0,71;0,71;0,48;0,2;0,71;0,64
Serbia First League Women;Serbia;33,0;33,0;3,09;0,72;0,13;0,36;0,86;1,36;1,73;0,44;0,55;0,45;5,0;0,4;7,0;0,71;0,56;0,5;0,5;0,55;0,58
Luxembourg Ligue 1 Women;Luxembourg;33,0;33,0;4,21;0,88;0,17;1,0;0,5;2,61;1,61;0,62;0,55;0,45;9,0;0,67;6,0;0,33;0,5;0,55;0,62;0,55;0,58
Norway U19 Elite League;Norway;33,0;33,0;4,91;0,43;0,18;0,73;2,81;2,82;2,09;0,57;0,85;0,15;8,0;1,0;0,0;0,0;0,5;0,83;0,8;0,75;1,0
Estonia U19 League;Estonia;33,0;33,0;5,06;0,6;0,15;1,06;2,02;3,06;2,0;0,6;0,58;0,42;5,0;0,0;5,0;0,6;0,3;0,58;0,64;0,58;0,3
USA UPSL;USA;33,0;33,0;4,33;0,4;0,28;1,18;2,59;2,76;1,58;0,64;0,67;0,33;8,0;0,62;1,0;1,0;0,81;0,67;0,78;0,64;0,67
Denmark Danmarksserien Promotion;Denmark;32,0;32,0;3,66;0,58;0,17;0,91;1,52;2,28;1,38;0,62;0,56;0,44;4,0;0,5;1,0;1,0;0,75;0,73;0,57;0,56;0,56
Cosafa U20 Cup;International (Africa);32,0;32,0;2,97;0,63;0,12;0,53;1,09;1,75;1,22;0,59;0,44;0,56;4,0;0,25;1,0;0,0;0,12;0,55;0,43;0,44;0,44
Copa America;International (South America);32,0;32,0;2,19;0,71;0,09;0,56;0,63;1,38;0,81;0,63;0,38;0,62;13,0;0,31;5,0;0,8;0,55;0,17;0,38;0,57;0,36
Lithuania A Lyga Women;Lithuania;32,0;32,0;2,66;0,46;0,11;0,66;1,42;1,66;1,0;0,62;0,25;0,75;10,0;0,2;8,0;0,38;0,29;0,25;0,29;0,25;0,25
Brazil U20 Copa Sao Paulo Women;Brazil;32,0;32,0;3,84;0,72;0,15;0,47;1,1;2,16;1,69;0,56;0,31;0,69;11,0;0,36;4,0;0,0;0,18;0,33;0,5;0,31;0,21
India Shillong Premier League;India;32,0;32,0;3,75;0,51;0,19;0,0;1,85;1,88;1,88;0,5;0,41;0,59;4,0;0,5;5,0;0,4;0,45;0,41;0,42;0,38;0,33
Brazil Amazonense;Brazil;32,0;32,0;2,0;0,64;0,11;0,56;0,73;1,28;0,72;0,64;0,34;0,66;10,0;0,2;1,0;1,0;0,6;0,33;0,38;0,34;0,29
UEFA Women's Europa Cup;International (Europe);31,0;31,0;2,84;0,63;0,15;0,19;1,05;1,32;1,52;0,47;0,45;0,55;4,0;0,25;3,0;0,67;0,46;0,44;0,5;0,33;0,5
AFC U20 Asian Cup;International (Asia);31,0;31,0;3,0;0,62;0,14;0,23;1,14;1,39;1,61;0,46;0,61;0,39;6,0;0,5;5,0;0,8;0,65;0,45;0,83;0,62;0,67
AFC Asian Cup U23;International (Asia);31,0;31,0;2,26;0,75;0,11;0,06;0,57;1,1;1,16;0,49;0,39;0,61;9,0;0,44;3,0;0,33;0,39;0,17;0,54;0,39;0,43
Brazil U20 Women Cup;Brazil;31,0;31,0;3,1;0,53;0,14;0,77;1,46;1,94;1,16;0,62;0,35;0,65;8,0;0,25;5,0;0,2;0,22;0,71;0,29;0,35;0,17
European U21 Championship;International (Europe);31,0;31,0;3,13;0,53;0,12;0,1;1,48;1,52;1,61;0,48;0,58;0,42;8,0;0,38;5,0;0,8;0,59;0,56;0,67;0,5;0,58
Chile Ascenso Women;Chile;31,0;31,0;2,94;0,5;0,11;0,55;1,45;1,74;1,19;0,59;0,55;0,45;5,0;0,2;3,0;0,33;0,27;0,67;0,57;0,55;0,33
Brazil Campeonato Paranaense U20;Brazil;31,0;31,0;3,06;0,6;0,16;0,42;1,22;1,74;1,32;0,57;0,55;0,45;7,0;0,57;3,0;0,67;0,62;0,6;0,5;0,6;0,55
CONCACAF Gold Cup;International (North & Central America);31,0;30,0;2,55;0,72;0,12;0,68;0,71;1,61;0,94;0,63;0,52;0,48;17,0;0,53;5,0;0,4;0,46;0,52;0,52;0,36;0,67
UAE U21 Cup;UAE;31,0;31,0;3,35;0,57;0,16;0,58;1,43;1,97;1,39;0,59;0,65;0,35;4,0;0,5;2,0;0,5;0,5;0,43;0,8;0,65;0,5
Latvia Cup;Latvia;30,0;30,0;4,33;0,49;0,15;0,33;2,21;2,0;2,33;0,46;0,63;0,37;10,0;0,7;11,0;0,45;0,58;0,63;0,63;0,64;0,5
Malta Jubilee Cup;Malta;30,0;30,0;2,9;0,7;0,17;1,1;0,86;2,0;0,9;0,69;0,43;0,57;11,0;0,27;3,0;0,33;0,3;0,5;0,75;0,17;0,3
India Shillong 2nd Division;India;30,0;30,0;3,73;0,58;0,18;1,07;1,57;2,4;1,33;0,64;0,63;0,37;3,0;0,33;0,0;0,0;0,17;0,62;0,64;0,63;0,63
Northern Ireland League Cup;North Ireland;30,0;29,0;2,7;0,74;0,16;0,77;0,71;1,73;0,97;0,64;0,47;0,53;15,0;0,53;7,0;0,43;0,48;0,47;0,47;0,29;0,62
Chile Copa de la Liga;Chile;30,0;30,0;2,7;0,45;0,11;0,37;1,49;1,17;1,53;0,43;0,7;0,3;4,0;0,5;0,0;0,0;0,25;0,58;0,93;0,7;0,7
Switzerland Women Nationalliga B;Switzerland;30,0;30,0;4,03;0,63;0,17;1,17;1,51;2,6;1,43;0,64;0,5;0,5;10,0;0,5;2,0;0,0;0,25;0,17;0,71;0,71;0,4
Brazil Campeonato Amapaense;Brazil;30,0;30,0;2,93;0,4;0,13;0,2;1,76;1,57;1,37;0,53;0,6;0,4;6,0;0,5;2,0;0,5;0,5;0,67;0,67;0,43;0,6
AFC Champions League;International (Asia);30,0;30,0;2,77;0,65;0,12;0,57;0,97;1,67;1,1;0,6;0,57;0,43;8,0;0,62;3,0;0,67;0,65;0,57;0,5;0,56;0,57
Paraguay Copa EFE Women;Paraguay;30,0;30,0;3,8;0,59;0,17;0,73;1,55;1,53;2,27;0,4;0,53;0,47;5,0;0,6;5,0;0,4;0,5;0,67;0,5;0,53;0,5
Netherlands Tweede Divisie Play-Offs;Netherlands;30,0;30,0;2,77;0,54;0,13;0,63;1,27;1,7;1,07;0,61;0,53;0,47;2,0;0,0;0,0;0,0;0,0;0,82;0,41;0,53;0,53
Brazil Copa Alagoas;Brazil;30,0;30,0;2,3;0,69;0,11;0,17;0,72;1,23;1,07;0,54;0,47;0,53;6,0;0,5;3,0;0,33;0,42;0,45;0,56;0,33;0,47
CONCACAF Championship Qualifiers Women;International (North & Central America);30,0;30,0;4,6;0,46;0,19;0,6;2,51;2,0;2,6;0,43;0,43;0,57;12,0;0,33;8,0;0,25;0,29;0,43;0,43;0,43;0,32
India Shillong 1st Division;India;30,0;30,0;3,63;0,57;0,18;0,23;1,57;1,7;1,93;0,47;0,47;0,53;6,0;0,67;3,0;0,0;0,33;0,17;0,43;0,55;0,47
Kuwait Crown Prince Cup;Kuwait;30,0;30,0;2,9;0,64;0,14;0,7;1,06;1,8;1,1;0,62;0,4;0,6;11,0;0,55;3,0;0,67;0,61;0,4;0,25;0,44;0,62
Oman 1st Division;Oman;29,0;28,0;2,21;0,73;0,13;0,55;0,59;1,38;0,83;0,62;0,38;0,62;1,0;0,0;1,0;1,0;0,5;0,44;0,29;0,38;0,38
Brazil Campeonato Gaucho U20;Brazil;29,0;29,0;2,66;0,54;0,12;0,38;1,23;1,52;1,14;0,57;0,45;0,55;7,0;0,14;4,0;0,25;0,2;0,45;0,69;0,14;0,14
U23 International;International (World);29,0;27,0;2,48;0,62;0,16;0,14;0,93;1,17;1,31;0,47;0,52;0,48;3,0;0,33;1,0;0,0;0,17;0,56;0,64;0,14;0,52
Bermuda Premier League;Bermuda;29,0;28,0;4,03;0,51;0,97;0,24;1,97;2,14;1,9;0,53;0,66;0,34;4,0;0,25;6,0;0,83;0,54;0,57;0,66;0,7;0,5
Slovenia League Women;Slovenia;29,0;29,0;4,03;0,49;0,17;0,24;2,06;1,9;2,14;0,47;0,52;0,48;7,0;0,57;7,0;0,43;0,5;0,52;0,52;0,52;0,46
CAF Champions League Women;International (Africa);29,0;29,0;2,34;0,63;0,13;0,55;0,87;1,45;0,9;0,62;0,34;0,66;9,0;0,44;5,0;0,2;0,32;0,34;0,38;0,5;0,2
Türkiye 3. Lig Promotion Group Play-off;Turkey;29,0;29,0;2,0;0,74;0,12;0,34;0,51;1,17;0,83;0,59;0,34;0,66;1,0;0,0;0,0;0,0;0,0;0,4;0,25;0,34;0,34
AFC Womens Asian Cup Qualifying;International (Asia);29,0;29,0;4,31;0,68;0,17;0,24;1,37;2,28;2,03;0,53;0,31;0,69;9,0;0,11;9,0;0,11;0,11;0,31;0,67;0,5;0,06
Malawi League Women;Malawi;29,0;29,0;2,21;0,66;0,13;0,69;0,76;1,45;0,76;0,66;0,28;0,72;6,0;0,33;4,0;0,5;0,42;0,17;0,38;0,28;0,14
Cyprus Women Division 1;Cyprus;28,0;28,0;3,79;0,62;0,14;0,64;1,45;1,57;2,21;0,42;0,43;0,57;11,0;0,45;10,0;0,3;0,38;0,43;0,43;0,67;0,31
Spain Regional League Play-Offs;Spain;28,0;28,0;2,71;0,64;0,13;0,21;0,97;1,46;1,25;0,54;0,5;0,5;1,0;1,0;0,0;0,0;0,5;0,33;0,64;0,5;0,5
Uruguay League Women;Uruguay;28,0;28,0;3,46;0,52;0,23;0,11;1,65;1,68;1,79;0,48;0,39;0,61;7,0;0,29;10,0;0,3;0,29;0,39;0,67;0,39;0,29
Algeria U21 Cup;Algeria;28,0;28,0;2,21;0,75;0,11;0,14;0,55;1,18;1,04;0,53;0,46;0,54;6,0;0,5;1,0;1,0;0,75;0,5;0,4;0,46;0,46
Brazil Campeonato Carioca B2;Brazil;28,0;28,0;2,39;0,71;0,13;0,18;0,69;1,29;1,11;0,54;0,57;0,43;3,0;1,0;3,0;0,67;0,83;0,44;0,55;0,57;0,57
India Bengal Super League;India;28,0;28,0;2,68;0,79;0,13;0,68;0,57;1,0;1,68;0,37;0,39;0,61;3,0;0,67;3,0;0,33;0,5;0,5;0,33;0,25;0,39
Belgium Second Amateur Division VFV A;Belgium;27,0;27,0;3,63;0,47;0,13;0,52;1,92;2,07;1,56;0,57;0,7;0,3;1,0;0,0;0,0;0,0;0,0;0,71;0,7;0,7;0,7
Colombia U19 Championship;Colombia;27,0;27,0;4,07;0,71;0,19;1,26;1,18;2,67;1,41;0,65;0,67;0,33;3,0;0,33;1,0;1,0;0,67;0,62;0,75;0,67;0,67
CONMEBOL Nations League Women;International (South America);27,0;27,0;2,96;0,75;0,12;1,19;0,75;2,07;0,89;0,7;0,44;0,56;8,0;0,25;4,0;0,75;0,5;0,44;0,33;0,44;0,33
FIFA Arab Cup;International (Asia);27,0;27,0;2,41;0,62;0,14;0,11;0,91;1,15;1,26;0,48;0,52;0,48;6,0;0,5;4,0;0,75;0,62;0,52;0,43;0,5;0,52
Taiwan League Division 2;Taiwan;27,0;27,0;3,22;0,72;0,15;0,41;0,91;1,41;1,81;0,44;0,44;0,56;3,0;0,33;5,0;0,4;0,37;0,29;0,56;0,44;0,33
Andorra Cup;Andorra;27,0;27,0;2,44;0,64;0,11;0,3;0,89;1,37;1,07;0,56;0,33;0,67;9,0;0,11;6,0;0,17;0,14;0,5;0,33;0,33;0,15
AFC Asian Cup Women;International (Asia);27,0;27,0;3,52;0,63;0,13;0,48;1,29;1,52;2,0;0,43;0,26;0,74;11,0;0,09;9,0;0,22;0,16;0,26;0,26;0,26;0,06
AFC U23 Asian Cup;International (Asia);27,0;27,0;2,63;0,57;0,12;0,41;1,13;1,11;1,52;0,42;0,37;0,63;3,0;0,33;4,0;0,25;0,29;0,67;0,42;0,14;0,37
Vietnam Championship Women;Vietnam;27,0;26,0;2,15;0,84;0,14;0,15;0,34;1,0;1,15;0,47;0,3;0,7;6,0;0,33;3,0;0,0;0,17;0,83;0,1;0,3;0,14
Singapore National Football League Div 1;Singapore;27,0;27,0;4,11;0,52;0,16;0,33;1,96;2,22;1,89;0,54;0,78;0,22;6,0;0,83;5,0;0,8;0,82;1,0;0,78;0,78;0,78
Ghana FA Cup;Ghana;27,0;27,0;1,93;0,61;0,1;0,44;0,75;1,19;0,74;0,62;0,48;0,52;9,0;0,56;3,0;1,0;0,78;0,14;0,57;0,75;0,48
Romania Cup Women;Romania;27,0;27,0;4,3;0,51;0,18;0,89;2,1;2,59;1,7;0,6;0,63;0,37;7,0;0,71;6,0;0,5;0,61;0,63;0,83;0,5;0,6
Montenegro U19 League;Montenegro;27,0;27,0;3,59;0,62;0,17;0,41;1,35;2,0;1,59;0,56;0,48;0,52;6,0;0,5;2,0;0,5;0,5;0,48;0,36;0,48;0,48
Brazil Campeonato Acreano;Brazil;26,0;26,0;2,73;0,59;0,13;0,42;1,12;1,15;1,58;0,42;0,5;0,5;4,0;0,75;0,0;0,0;0,38;0,22;0,73;0,5;0,5
Kazakhstan Super League Women;Kazakhstan;26,0;26,0;3,19;0,61;0,19;0,35;1,23;1,77;1,42;0,55;0,38;0,62;8,0;0,62;7,0;0,43;0,53;0,38;0,38;0,33;0,45
Austria 2. Landesliga;Austria;26,0;26,0;3,85;0,45;0,16;0,23;2,11;2,04;1,81;0,53;0,77;0,23;4,0;0,5;1,0;1,0;0,75;0,77;0,77;0,77;0,77
Moldova Cup;Moldova;26,0;26,0;2,85;0,58;0,18;1,0;1,2;1,92;0,92;0,68;0,54;0,46;11,0;0,45;3,0;0,67;0,56;0,54;0,71;0,38;0,57
Netherlands Eredivisie Play-Offs;Netherlands;26,0;26,0;3,23;0,66;0,16;0,31;1,11;1,77;1,46;0,55;0,62;0,38;2,0;0,5;0,0;0,0;0,25;0,62;0,67;0,62;0,62
Iceland League Cup C;Iceland;26,0;26,0;4,85;0,47;0,21;0,15;2,57;2,5;2,35;0,52;0,73;0,27;7,0;0,71;1,0;1,0;0,86;0,62;0,73;0,88;0,67
Africa Cup of Nations Women;International (Africa);26,0;26,0;2,5;0,75;0,14;0,88;0,62;1,69;0,81;0,68;0,46;0,54;8,0;0,38;4,0;0,5;0,44;0,46;0,44;0,5;0,33
South Africa League Cup;South Africa;26,0;26,0;2,31;0,76;0,14;0,23;0,55;1,27;1,04;0,55;0,42;0,58;5,0;0,2;3,0;0,33;0,27;0,38;0,56;0,33;0,42
Brazil Campeonato Baiano 2;Brazil;26,0;26,0;2,62;0,64;0,15;0,31;0,94;1,46;1,15;0,56;0,62;0,38;11,0;0,82;3,0;0,33;0,58;0,62;0,62;0,67;0,71
Romania Liga 2 Women;Romania;26,0;26,0;3,62;0,55;0,15;0,23;1,61;1,92;1,69;0,53;0,62;0,38;4,0;1,0;3,0;0,67;0,83;0,62;0,44;0,62;0,62
Finland Cup Women;Finland;26,0;26,0;3,46;0,49;0,17;0,08;1,76;1,77;1,69;0,51;0,54;0,46;7,0;0,43;7,0;0,43;0,43;0,54;0,54;0,44;0,56
Nigeria Cup;Nigeria;25,0;25,0;1,8;0,68;0,08;0,12;0,58;0,96;0,84;0,53;0,48;0,52;7,0;0,71;2,0;0,0;0,36;0,48;0,67;0,48;0,48
Africa Cup of Nations Qualifiers Women;International (Africa);25,0;25,0;2,36;0,69;0,11;0,28;0,73;1,32;1,04;0,56;0,32;0,68;7,0;0,14;2,0;0,0;0,07;0,32;0,57;0,33;0,17
Vietnam Cup Women;Vietnam;25,0;25,0;2,8;0,84;0,14;0,4;0,45;1,2;1,6;0,43;0,24;0,76;4,0;0,0;6,0;0,5;0,25;0,24;0,23;0,24;0,25
Tanzania Cup;Tanzania;25,0;25,0;2,4;0,77;0,14;0,8;0,55;1,6;0,8;0,67;0,28;0,72;12,0;0,42;3,0;0,0;0,21;0,28;0,14;0,5;0,25
Brazil Campeonato Paulista U20 Women;Brazil;25,0;25,0;2,84;0,48;0,13;0,12;1,47;1,36;1,48;0,48;0,52;0,48;2,0;0,0;7,0;0,29;0,14;0,67;0,52;0,52;0,22
Womens Copa America;International (South America);25,0;25,0;3,32;0,7;0,14;0,12;0,98;1,72;1,6;0,52;0,44;0,56;8,0;0,38;6,0;0,33;0,35;0,44;0,33;0,44;0,42
UAE Second Division;UAE;25,0;25,0;3,16;0,54;0,19;0,2;1,46;1,68;1,48;0,53;0,48;0,52;1,0;1,0;1,0;0,0;0,5;0,5;0,62;0,17;0,48
India MFA Super Cup;India;25,0;25,0;3,6;0,73;0,16;0,64;0,99;2,12;1,48;0,59;0,44;0,56;2,0;0,5;1,0;0,0;0,25;0,33;0,58;0,44;0,44
