period;Rank;Team;Rating;Average_Rank;Average_Rating;One_Year_Rank_Change;One_Year_Rating_Change;Matches_Total;Matches_Home;Matches_Away;Matches_Neutral;Matches_Wins;Matches_Losses;Matches_Draws;Goals_For;Goals_Against
2024-12-31;68;Honduras;1560;63;1499;3,0;29,0;650;207;212;231;255;227;168;941;839
2024-12-31;70;Kosovo;1554;104;1410;7,0;54,0;95;41;35;19;34;40;21;128;130
2024-12-31;71;Nigeria;1550;38;1669;-9,0;-37,0;692;238;257;197;318;178;196;1033;703
2024-12-31;72;DR Congo;1540;62;1556;6,0;43,0;530;163;222;145;213;169;148;808;633
2024-12-31;73;Finland;1538;62;1500;-21,0;-103,0;811;332;422;57;212;434;165;956;1677
2024-12-31;73;Haiti;1538;81;1416;7,0;42,0;547;181;190;176;241;192;114;936;742
2024-12-31;75;Saudi Arabia;1536;76;1498;-12,0;-50,0;814;316;146;352;386;238;190;1259;871
2024-12-31;76;Oman;1534;129;1204;-9,0;-22,0;573;225;140;208;216;213;144;736;762
2024-12-31;77;United Arab Emirates;1533;98;1391;-5,0;3,0;658;283;137;238;258;233;167;915;812
2024-12-31;78;Qatar;1524;93;1414;-8,0;-10,0;684;317;144;223;286;225;173;979;803
2024-12-31;79;Montenegro;1520;59;1606;-11,0;-29,0;160;83;72;5;52;67;41;186;214
2024-12-31;80;Bahrain;1509;110;1346;14,0;60,0;622;215;152;255;220;237;165;769;802
2024-12-31;81;Guatemala;1506;68;1485;0,0;12,0;607;200;175;232;218;227;162;852;821
2024-12-31;82;Equatorial Guinea;1496;152;1152;-7,0;-19,0;181;77;64;40;52;89;40;168;270
2024-12-31;83;Guinea;1490;72;1517;17,0;67,0;635;172;261;202;248;208;179;941;795
2024-12-31;84;Bulgaria;1486;41;1635;7,0;29,0;767;293;393;81;283;291;193;1074;1118
2024-12-31;85;Bosnia and Herzegovina;1485;52;1629;0,0;0,0;267;112;129;26;98;109;60;369;373
2024-12-31;86;Burkina Faso;1481;99;1400;-20,0;-83,0;475;150;184;141;159;188;128;578;659
2024-12-31;87;Cape Verde;1472;121;1297;0,0;-7,0;238;77;85;76;88;96;54;246;266
2024-12-31;88;Belarus;1459;80;1506;1,0;-10,0;294;101;151;42;85;132;77;323;419
2024-12-31;89;Northern Cyprus;1457;84;1464;2,0;0,0;17;5;3;9;9;6;2;30;23
2024-12-31;90;Mozambique;1447;116;1330;27,0;93,0;425;164;171;90;134;182;109;448;547
2024-12-31;91;Luxembourg;1445;108;1254;-17,0;-75,0;461;250;195;16;51;349;61;300;1207
2024-12-31;92;Gabon;1442;95;1412;4,0;3,0;448;181;152;115;153;168;127;523;543
2024-12-31;93;Syria;1437;86;1428;5,0;11,0;584;125;219;240;215;224;145;830;747
2024-12-31;94;Kazakhstan;1430;101;1420;-8,0;-51,0;256;97;116;43;65;135;56;268;430
2024-12-31;94;Thailand;1430;112;1316;15,0;46,0;920;379;195;346;357;354;209;1456;1393
2024-12-31;96;Ghana;1429;41;1653;-27,0;-119,0;765;244;291;230;364;207;194;1224;807
2024-12-31;96;Benin;1429;109;1354;28,0;88,0;338;129;139;70;81;174;83;352;598
2024-12-31;98;Kurdistan;1425;101;1425;1,0;0,0;4;2;0;2;3;0;1;12;3
2024-12-31;99;Comoros;1424;188;927;48,0;150,0;136;27;30;79;34;70;32;123;215
2024-12-31;100;Martinique;1418;79;1459;-5,0;-24,0;364;134;123;107;167;111;86;674;479
2024-12-31;101;China;1412;49;1579;-8,0;-39,0;751;269;261;221;364;225;162;1411;847
2024-12-31;102;Armenia;1411;102;1419;-13,0;-58,0;270;108;126;36;65;149;56;272;500
2024-12-31;103;Zambia;1408;59;1553;-20,0;-80,0;866;280;354;232;392;252;222;1381;925
2024-12-31;104;Tanzania;1407;117;1294;14,0;58,0;643;242;233;168;191;271;181;737;944
2024-12-31;104;Palestine;1407;121;1252;-2,0;-2,0;280;19;107;154;81;125;74;360;436
2024-12-31;106;Kenya;1402;90;1379;15,0;56,0;767;288;281;198;289;288;190;1056;1039
2024-12-31;107;Azerbaijan;1398;107;1398;-29,0;-99,0;310;108;149;53;65;167;78;252;517
2024-12-31;108;Uganda;1395;74;1484;6,0;30,0;723;248;254;221;299;232;192;1092;866
2024-12-31;109;Trinidad and Tobago;1394;61;1506;-12,0;-38,0;850;339;355;156;371;294;185;1418;1086
2024-12-31;110;Libya;1391;82;1471;6,0;34,0;449;160;163;126;163;184;102;610;602
2024-12-31;111;El Salvador;1390;71;1473;-8,0;-18,0;671;206;204;261;224;298;149;853;1003
2024-12-31;112;Sudan;1388;89;1445;18,0;66,0;537;154;199;184;185;216;136;622;709
2024-12-31;113;North Korea;1387;62;1570;-1,0;17,0;411;50;146;215;174;124;113;634;434
2024-12-31;114;Togo;1381;89;1441;-9,0;-13,0;485;176;195;114;155;207;123;527;664
2024-12-31;115;Zimbabwe;1378;78;1463;12,0;43,0;533;190;218;125;203;175;155;720;639
2024-12-31;115;Gambia;1378;119;1307;-11,0;-18,0;288;108;97;83;77;132;79;294;414
2024-12-31;117;Estonia;1376;93;1352;-3,0;11,0;527;224;250;53;130;280;117;518;936
2024-12-31;118;Mauritania;1364;156;1111;-11,0;-26,0;286;88;98;100;54;167;65;208;510
2024-12-31;119;Nicaragua;1363;146;1027;9,0;31,0;239;58;93;88;52;158;29;251;596
2024-12-31;120;Suriname;1356;84;1404;19,0;53,0;529;226;217;86;234;171;124;969;725
2024-12-31;120;Rwanda;1356;144;1203;17,0;51,0;281;102;97;82;87;121;73;290;354
2024-12-31;122;Moldova;1355;108;1394;3,0;17,0;288;108;139;41;60;161;67;236;479
2024-12-31;122;Botswana;1355;150;1163;1,0;12,0;353;161;132;60;96;157;100;299;463
2024-12-31;124;Reunion;1345;125;1182;-2,0;0,0;139;53;38;48;55;55;29;237;252
2024-12-31;125;Lebanon;1339;107;1333;9,0;27,0;410;140;140;130;117;183;110;487;616
2024-12-31;126;Curaçao;1335;97;1381;0,0;-2,0;484;169;172;143;196;169;119;854;751
2024-12-31;126;Guadeloupe;1335;91;1409;3,0;9,0;288;91;88;109;126;111;51;500;400
2024-12-31;128;Kuwait;1333;82;1471;-16,0;-37,0;748;267;172;309;319;241;188;1180;850
2024-12-31;129;Guinea-Bissau;1330;125;1282;-28,0;-83,0;205;63;61;81;57;97;51;209;303
2024-12-31;130;Zanzibar;1321;146;1115;2,0;0,0;217;37;45;135;39;131;47;186;458
2024-12-31;131;Indonesia;1320;101;1361;15,0;35,0;772;244;189;339;293;327;152;1298;1253
2024-12-31;131;Niger;1320;133;1236;26,0;83,0;278;100;113;65;60;153;65;266;498
2024-12-31;133;Namibia;1319;137;1269;-23,0;-58,0;291;102;115;74;74;129;88;284;407
2024-12-31;134;Malawi;1309;114;1329;-15,0;-39,0;686;303;241;142;230;258;198;810;889
2024-12-31;135;Vietnam;1306;120;1297;-29,0;-87,0;515;167;128;220;213;199;103;898;761
2024-12-31;136;Tajikistan;1305;122;1336;-25,0;-70,0;199;48;81;70;73;84;42;280;282
2024-12-31;137;Cyprus;1301;101;1379;-7,0;-21,0;415;230;179;6;80;265;70;366;911
2024-12-31;138;Sierra Leone;1295;104;1368;-3,0;-16,0;328;115;137;76;94;147;87;320;465
2024-12-31;139;Madagascar;1287;104;1366;-4,0;-24,0;342;120;119;103;129;137;76;470;510
2024-12-31;139;Dominican Republic;1287;168;1054;22,0;82,0;176;80;60;36;66;83;27;280;285
2024-12-31;141;Central African Republic;1285;124;1296;-2,0;-18,0;155;32;66;57;34;89;32;174;306
2024-12-31;142;Lithuania;1283;90;1319;-9,0;-36,0;404;163;200;41;105;222;77;406;735
2024-12-31;143;Kyrgyzstan;1281;156;1198;11,0;29,0;181;45;72;64;54;100;27;198;319
2024-12-31;144;Cuba;1280;83;1441;-1,0;-10,0;474;101;206;167;182;183;109;667;663
2024-12-31;144;Burundi;1280;124;1286;0,0;-7,0;230;50;85;95;70;106;54;260;322
2024-12-31;146;Faroe Islands;1277;122;1251;4,0;13,0;270;115;133;22;44;189;37;198;629
2024-12-31;147;Latvia;1276;86;1402;-27,0;-71,0;445;186;206;53;125;214;106;528;737
2024-12-31;148;Ethiopia;1275;98;1396;-6,0;-24,0;464;213;161;90;166;195;103;643;680
2024-12-31;149;Malta;1269;118;1324;6,0;20,0;442;239;177;26;63;305;74;287;989
2024-12-31;150;Liberia;1265;111;1343;2,0;8,0;331;142;140;49;88;170;73;305;505
2024-12-31;151;New Caledonia;1261;102;1358;7,0;31,0;281;87;69;125;139;108;34;734;415
2024-12-31;152;Malaysia;1255;122;1288;-11,0;-47,0;919;382;239;298;355;354;210;1493;1339
2024-12-31;153;Guyana;1244;104;1293;-5,0;-29,0;448;178;191;79;136;222;90;572;782
2024-12-31;154;Fiji;1233;128;1247;8,0;30,0;280;106;60;114;126;100;54;643;436
2024-12-31;155;Lesotho;1230;151;1178;1,0;-11,0;339;113;144;82;67;172;100;273;554
2024-12-31;156;Congo;1223;81;1476;-7,0;-44,0;471;179;187;105;173;184;114;677;657
2024-12-31;156;French Guiana;1223;125;1246;-11,0;-63,0;190;66;67;57;57;92;41;280;328
2024-12-31;158;Eswatini;1218;153;1167;-5,0;-37,0;314;121;128;65;71;152;91;289;522
2024-12-31;159;Mayotte;1216;157;1201;1,0;0,0;41;2;11;28;13;17;11;55;59
2024-12-31;160;Tahiti;1206;101;1390;3,0;23,0;253;58;71;124;136;81;36;693;380
2024-12-31;161;Turkmenistan;1205;115;1364;-2,0;-16,0;178;39;72;67;67;78;33;274;269
2024-12-31;162;India;1175;109;1344;-11,0;-87,0;595;172;165;258;216;255;124;820;980
2024-12-31;163;Chad;1166;135;1246;1,0;11,0;170;41;57;72;35;96;39;157;311
2024-12-31;164;Bermuda;1142;127;1287;1,0;-5,0;224;101;77;46;77;103;44;361;381
2024-12-31;165;Eritrea;1139;164;1159;3,0;0,0;84;20;27;37;15;50;19;57;136
2024-12-31;166;Hong Kong;1136;122;1290;13,0;69,0;498;176;147;175;173;227;98;793;851
2024-12-31;167;St Vincent & Grenadines;1129;109;1325;11,0;57,0;350;130;130;90;124;146;80;534;630
2024-12-31;168;Solomon Islands;1126;147;1184;-31,0;-179,0;218;59;61;98;94;88;36;474;410
2024-12-31;169;Yemen;1125;143;1213;2,0;21,0;288;56;85;147;62;173;53;280;568
2024-12-31;170;South Sudan;1121;180;1083;-3,0;-23,0;72;13;27;32;12;47;13;49;131
2024-12-31;171;Philippines;1120;135;1067;12,0;67,0;389;105;125;159;93;238;58;406;1015
2024-12-31;171;Puerto Rico;1120;169;933;-5,0;-26,0;187;69;65;53;43;117;27;218;475
2024-12-31;173;Papua New Guinea;1104;165;1090;-3,0;-3,0;162;27;43;92;52;80;30;347;354
2024-12-31;174;Saint Kitts and Nevis;1103;137;1177;2,0;25,0;240;115;76;49;100;94;46;408;362
2024-12-31;175;Belize;1096;139;1114;5,0;35,0;121;42;42;37;30;68;23;127;221
2024-12-31;176;Afghanistan;1088;167;918;1,0;11,0;155;8;61;86;37;83;35;147;318
2024-12-31;177;Andorra;1083;182;1049;-5,0;-19,0;216;88;97;31;14;173;29;72;517
2024-12-31;178;Singapore;1076;133;1230;-9,0;-41,0;759;314;180;265;236;369;154;1016;1382
2024-12-31;179;Grenada;1064;100;1374;-6,0;-31,0;297;109;111;77;97;124;76;467;537
2024-12-31;180;Gibraltar;1055;178;1084;1,0;-2,0;104;34;44;26;16;73;15;59;310
2024-12-31;181;Sao Tome and Principe;1046;174;1057;1,0;-8,0;74;24;32;18;10;53;11;55;193
2024-12-31;182;Vanuatu;1045;156;1104;-7,0;-34,0;222;52;50;120;68;124;30;394;479
2024-12-31;183;Mauritius;1036;107;1339;1,0;-7,0;348;120;148;80;100;170;78;446;561
2024-12-31;184;Saint Lucia;1034;125;1244;-10,0;-58,0;259;88;106;65;89;128;42;357;468
2024-12-31;185;Saint Martin;1018;187;981;8,0;78,0;77;15;33;29;28;40;9;120;177
2024-12-31;186;Somaliland;1005;188;1003;1,0;0,0;2;0;0;2;1;0;1;4;3
2024-12-31;187;Western Sahara;996;189;996;3,0;0,0;1;0;1;0;0;1;0;0;6
2024-12-31;188;Dominica;977;131;1200;1,0;-21,0;238;66;96;76;59;128;51;282;476
2024-12-31;189;Barbados;950;120;1247;6,0;12,0;367;167;129;71;116;158;93;484;602
2024-12-31;189;Montserrat;950;191;636;-4,0;-71,0;72;15;25;32;17;47;8;75;232
2024-12-31;191;Greenland;946;184;976;1,0;-7,0;22;2;7;13;5;16;1;35;50
2024-12-31;192;Djibouti;942;177;871;5,0;31,0;112;28;37;47;10;91;11;79;396
2024-12-31;193;Nepal;937;190;888;7,0;35,0;285;73;82;130;67;168;50;242;653
2024-12-31;194;Sint Maarten;932;187;908;9,0;54,0;71;16;24;31;21;39;11;101;190
2024-12-31;195;Taiwan;924;143;1175;1,0;-1,0;331;92;105;134;95;184;52;458;763
2024-12-31;196;Myanmar;918;124;1249;2,0;8,0;545;115;136;294;214;228;103;883;940
2024-12-31;197;Antigua and Barbuda;917;144;1184;-11,0;-93,0;281;113;100;68;95;133;53;393;484
2024-12-31;198;Liechtenstein;913;166;1120;-7,0;-42,0;245;109;119;17;18;195;32;101;681
2024-12-31;199;Bangladesh;906;181;981;-5,0;-33,0;316;87;91;138;85;162;69;288;570
2024-12-31;200;Monaco;903;199;900;-1,0;0,0;9;0;1;8;4;2;3;11;15
2024-12-31;201;Aruba;902;124;1202;-13,0;-99,0;200;82;77;41;48;110;42;284;458
2024-12-31;202;Somalia;895;165;1075;-1,0;1,0;139;10;42;87;13;107;19;75;363
2024-12-31;203;Maldives;889;190;885;-1,0;7,0;229;60;76;93;65;126;38;281;514
2024-12-31;204;Seychelles;859;181;991;0,0;4,0;182;51;56;75;26;124;32;143;392
2024-12-31;205;Cambodia;849;157;1062;0,0;1,0;312;78;91;143;71;197;44;357;809
2024-12-31;206;San Marino;848;194;920;6,0;71,0;214;103;104;7;3;200;11;38;846
2024-12-31;207;Bonaire;838;149;1040;-1,0;6,0;98;17;52;29;23;63;12;110;240
2024-12-31;208;Cayman Islands;828;182;1007;1,0;28,0;122;55;37;30;24;74;24;117;300
2024-12-31;209;Pakistan;826;153;1106;-2,0;-5,0;278;60;95;123;63;166;49;270;631
2024-12-31;210;Bahamas;792;190;874;-2,0;-24,0;84;30;30;24;17;56;11;88;265
2024-12-31;211;Chagos Islands;782;211;784;0,0;0,0;4;0;0;4;1;2;1;8;10
2024-12-31;212;Tuvalu;756;204;745;2,0;0,0;34;0;4;30;9;21;4;47;182
2024-12-31;213;Sint Eustatius;737;213;754;0,0;-20,0;11;3;8;0;5;2;4;33;30
2024-12-31;214;Mongolia;729;189;845;-4,0;-64,0;100;22;37;41;21;68;11;100;282
2024-12-31;215;Samoa;728;211;656;4,0;30,0;77;28;15;34;23;50;4;109;279
2024-12-31;216;Sri Lanka;726;160;935;5,0;37,0;274;65;85;124;52;173;49;262;678
2024-12-31;217;Saint Barthelemy;725;217;704;-2,0;0,0;10;7;3;0;4;5;1;25;29
2024-12-31;218;Guam;713;206;693;-1,0;14,0;128;25;42;61;30;85;13;161;577
2024-12-31;219;Laos;700;185;899;6,0;32,0;228;44;67;117;41;152;35;230;721
2024-12-31;220;Wallis and Futuna;699;201;699;-3,0;0,0;24;0;5;19;5;19;0;23;109
2024-12-31;221;Vatican;692;218;697;-1,0;0,0;5;0;0;5;0;3;2;1;6
2024-12-31;222;Saba;691;223;673;2,0;20,0;8;5;3;0;2;4;2;25;26
2024-12-31;223;Saint Pierre and Miquelon;677;223;679;0,0;0,0;7;0;0;7;0;7;0;2;78
2024-12-31;224;Brunei;667;201;780;8,0;69,0;144;26;42;76;26;105;13;116;462
2024-12-31;225;East Timor;660;226;627;6,0;49,0;83;5;43;35;10;66;7;76;265
2024-12-31;226;Turks and Caicos Islands;648;210;772;-10,0;-53,0;54;16;22;16;12;37;5;50;194
2024-12-31;227;Tibet;629;208;666;1,0;0,0;10;0;3;7;0;9;1;8;38
2024-12-31;228;British Virgin Islands;626;206;793;-1,0;-32,0;127;34;55;38;20;86;21;112;386
2024-12-31;229;Cook Islands;622;205;683;-7,0;-64,0;56;4;14;38;13;39;4;50;276
2024-12-31;230;Anguilla;621;224;554;6,0;74,0;105;28;45;32;12;80;13;63;385
2024-12-31;230;Bhutan;621;218;599;-1,0;-2,0;107;19;36;52;11;89;7;62;391
2024-12-31;232;Macao;599;174;951;-6,0;-67,0;157;51;48;58;24;116;17;140;476
2024-12-31;233;US Virgin Islands;587;218;689;-3,0;-26,0;76;27;33;16;8;56;12;44;291
2024-12-31;234;Christmas Island;578;228;577;-1,0;0,0;10;6;4;0;7;2;1;29;8
2024-12-31;235;Falkland Islands;571;229;586;-1,0;0,0;4;0;1;3;0;4;0;0;25
2024-12-31;236;FS Micronesia;563;230;572;-1,0;0,0;8;1;3;4;1;7;0;8;64
2024-12-31;237;Kiribati;544;219;579;0,0;0,0;11;0;2;9;0;10;1;7;126
2024-12-31;238;Tonga;520;213;655;0,0;-4,0;70;10;15;45;16;48;6;82;265
2024-12-31;239;Niue;496;225;496;0,0;0,0;2;0;0;2;0;2;0;0;33
2024-12-31;240;Northern Mariana Islands;432;232;516;0,0;-2,0;36;7;11;18;5;28;3;43;153
2024-12-31;241;Cocos Islands;422;234;423;0,0;0,0;10;4;6;0;2;7;1;8;29
2024-12-31;242;Palau;402;237;402;0,0;0,0;2;2;0;0;0;2;0;3;27
2024-12-31;243;Eastern Samoa;388;225;470;0,0;12,0;57;0;15;42;5;50;2;34;374
2025-12-31;1;Spain;2172;7;1945;0,0;-6,0;778;338;302;138;460;138;180;1588;697
2025-12-31;2;Argentina;2113;5;1987;0,0;5,0;1107;379;419;309;608;228;271;2105;1135
2025-12-31;3;France;2062;16;1794;0,0;7,0;936;473;341;122;472;269;195;1701;1270
2025-12-31;4;England;2042;4;1983;0,0;36,0;1158;507;524;127;683;214;261;2718;1116
2025-12-31;5;Colombia;1998;49;1619;2,0;21,0;646;184;229;233;265;203;178;840;736
2025-12-31;6;Brazil;1978;4;1998;-1,0;-18,0;1063;372;346;345;669;171;223;2290;951
2025-12-31;7;Portugal;1976;19;1796;-1,0;-17,0;692;320;260;112;345;189;158;1220;779
2025-12-31;8;Netherlands;1959;15;1848;2,0;21,0;899;427;358;114;464;239;196;1889;1140
2025-12-31;9;Ecuador;1933;64;1523;3,0;24,0;596;183;210;203;183;254;159;717;901
2025-12-31;10;Croatia;1932;12;1881;4,0;46,0;396;156;167;73;208;82;106;691;397
2025-12-31;11;Norway;1922;38;1622;11,0;116,0;884;424;408;52;334;354;196;1372;1441
2025-12-31;12;Germany;1910;8;1911;-4,0;-61,0;1043;468;414;161;602;224;217;2346;1228
2025-12-31;13;Switzerland;1897;27;1689;6,0;83,0;893;424;391;78;319;372;202;1332;1478
2025-12-31;14;Uruguay;1890;12;1876;-5,0;-58,0;1017;336;431;250;446;321;250;1609;1253
2025-12-31;15;Turkey;1881;43;1610;13,0;107,0;667;289;299;79;261;250;156;945;969
2025-12-31;16;Japan;1878;62;1465;-3,0;-11,0;833;331;205;297;406;257;170;1515;985
2025-12-31;17;Denmark;1865;20;1798;-1,0;8,0;901;412;395;94;418;298;185;1644;1218
2025-12-31;18;Italy;1859;8;1915;-7,0;-71,0;899;406;322;171;478;177;244;1576;893
2025-12-31;19;Belgium;1849;24;1755;-2,0;-1,0;874;415;374;85;389;302;183;1593;1356
2025-12-31;20;Morocco;1840;43;1656;3,0;38,0;721;313;219;189;360;164;197;1092;611
2025-12-31;21;Mexico;1834;20;1782;11,0;65,0;1022;294;271;457;529;258;235;1814;1054
2025-12-31;22;Paraguay;1832;23;1755;6,0;58,0;786;214;364;208;275;302;209;1000;1113
2025-12-31;23;Austria;1818;20;1810;-8,0;-53,0;863;429;383;51;368;310;185;1554;1320
2025-12-31;24;Senegal;1807;57;1589;7,0;36,0;698;220;258;220;313;192;193;956;667
2025-12-31;25;Ukraine;1802;31;1745;-2,0;0,0;336;134;144;58;152;89;95;473;353
2025-12-31;25;Canada;1802;49;1598;1,0;18,0;485;150;200;135;188;185;112;623;621
2025-12-31;27;Scotland;1790;14;1879;6,0;31,0;865;401;413;51;411;266;188;1495;1073
2025-12-31;28;South Korea;1784;35;1687;0,0;10,0;1048;353;254;441;571;219;258;1907;959
2025-12-31;29;Russia;1782;24;1741;-4,0;-7,0;810;309;382;119;429;173;208;1473;777
2025-12-31;30;Australia;1773;35;1671;13,0;55,0;633;269;223;141;324;179;130;1283;713
2025-12-31;31;Serbia;1768;20;1787;-10,0;-41,0;858;301;422;135;402;264;192;1615;1169
2025-12-31;32;Greece;1761;49;1558;-12,0;-51,0;654;297;294;63;251;248;155;833;905
2025-12-31;33;Algeria;1757;48;1621;15,0;72,0;684;261;233;190;307;195;182;1044;701
2025-12-31;34;Iran;1755;41;1657;-16,0;-83,0;666;223;195;248;381;131;154;1264;522
2025-12-31;35;United States;1747;41;1641;-1,0;-11,0;823;485;253;85;366;284;173;1244;1066
2025-12-31;36;Panama;1742;100;1360;4,0;16,0;587;199;224;164;195;250;142;732;902
2025-12-31;37;Poland;1735;30;1712;9,0;36,0;917;394;409;114;399;294;224;1558;1235
2025-12-31;37;Uzbekistan;1735;60;1594;12,0;51,0;362;128;128;106;179;110;73;630;395
2025-12-31;39;Czechia;1731;13;1855;-4,0;-22,0;880;358;416;106;424;261;195;1620;1093
2025-12-31;39;Chile;1731;28;1678;5,0;18,0;850;328;306;216;317;345;188;1189;1210
2025-12-31;41;Wales;1715;22;1671;-3,0;-17,0;731;343;356;32;236;331;164;915;1171
2025-12-31;41;Venezuela;1715;84;1431;-5,0;-29,0;479;179;178;122;128;245;106;517;871
2025-12-31;43;Kosovo;1714;103;1417;27,0;160,0;105;47;38;20;41;41;23;148;141
2025-12-31;44;Peru;1707;34;1679;-3,0;-15,0;706;266;253;187;228;303;175;855;983
2025-12-31;45;Hungary;1698;20;1835;-18,0;-80,0;1031;465;492;74;486;324;221;2068;1525
2025-12-31;46;Slovenia;1695;54;1624;-7,0;-32,0;317;144;143;30;115;116;86;396;375
2025-12-31;47;Jordan;1689;111;1322;7,0;72,0;581;201;192;188;207;218;156;725;707
2025-12-31;48;Ireland;1688;24;1626;9,0;80,0;738;376;303;59;260;287;191;970;1158
2025-12-31;49;Slovakia;1687;40;1681;-4,0;-14,0;364;154;166;44;148;130;86;512;453
2025-12-31;50;Nigeria;1669;38;1668;21,0;119,0;707;241;261;205;327;179;201;1063;718
2025-12-31;51;Bolivia;1666;60;1509;-1,0;8,0;531;186;205;140;120;291;120;544;1047
2025-12-31;52;Albania;1664;73;1503;1,0;29,0;406;190;184;32;116;205;85;395;599
2025-12-31;53;Sweden;1660;17;1795;-17,0;-84,0;1116;488;499;129;547;335;234;2220;1479
2025-12-31;54;DR Congo;1657;62;1557;18,0;117,0;544;166;225;153;224;170;150;832;640
2025-12-31;55;Georgia;1650;70;1552;-8,0;-42,0;317;138;147;32;105;146;66;408;441
2025-12-31;56;Romania;1642;29;1717;-14,0;-77,0;798;332;374;92;354;245;199;1303;1015
2025-12-31;57;Costa Rica;1632;35;1690;-5,0;-20,0;787;259;281;247;356;241;190;1366;909
2025-12-31;58;Israel;1631;49;1621;0,0;30,0;522;249;211;62;196;207;119;801;762
2025-12-31;59;Ivory Coast;1627;45;1640;4,0;48,0;688;241;237;210;345;165;178;1120;692
2025-12-31;60;Egypt;1623;37;1662;-9,0;-34,0;877;353;279;245;443;215;219;1534;917
2025-12-31;61;Tunisia;1615;47;1616;-2,0;17,0;772;337;250;185;329;229;214;1103;838
2025-12-31;62;Northern Ireland;1603;40;1656;6,0;43,0;608;276;295;37;171;288;149;642;922
2025-12-31;63;Mali;1599;70;1522;-8,0;-11,0;621;195;233;193;249;204;168;823;714
2025-12-31;64;Cameroon;1594;52;1604;-4,0;0,0;657;184;245;228;285;170;202;948;708
2025-12-31;65;North Macedonia;1592;74;1533;-10,0;-18,0;301;141;130;30;95;129;77;364;403
2025-12-31;65;Saudi Arabia;1592;76;1499;10,0;56,0;835;323;150;362;396;244;195;1281;888
2025-12-31;67;New Zealand;1585;66;1499;-5,0;2,0;437;133;189;115;180;178;79;763;642
2025-12-31;68;Iraq;1582;47;1622;-7,0;-2,0;758;139;231;388;358;189;211;1200;706
2025-12-31;69;Bosnia and Herzegovina;1572;53;1626;16,0;87,0;277;116;135;26;104;111;62;391;383
2025-12-31;70;Burkina Faso;1571;99;1401;16,0;90,0;488;152;186;150;169;190;129;606;668
2025-12-31;71;Honduras;1567;63;1500;-3,0;7,0;666;212;217;237;263;231;172;962;855
2025-12-31;72;Iceland;1566;81;1424;-8,0;-10,0;522;216;248;58;160;260;102;632;874
2025-12-31;73;Cape Verde;1561;120;1301;14,0;89,0;249;80;91;78;94;96;59;264;273
2025-12-31;74;South Africa;1551;32;1708;-10,0;-25,0;521;273;161;87;231;139;151;716;537
2025-12-31;75;Angola;1543;86;1456;-8,0;-27,0;473;166;184;123;175;140;158;575;489
2025-12-31;76;Haiti;1542;81;1417;-3,0;4,0;559;181;196;182;246;196;117;956;757
2025-12-31;77;United Arab Emirates;1540;98;1394;0,0;7,0;674;287;141;246;263;238;173;933;831
2025-12-31;78;Guatemala;1528;68;1485;3,0;22,0;624;205;180;239;225;233;166;877;844
2025-12-31;78;Jamaica;1528;83;1413;-12,0;-47,0;712;272;266;174;276;270;166;954;937
2025-12-31;80;Ghana;1509;42;1651;16,0;80,0;775;247;294;234;370;210;195;1245;813
2025-12-31;80;Finland;1509;62;1500;-7,0;-29,0;821;337;427;57;216;439;166;968;1692
2025-12-31;82;Belarus;1496;80;1505;6,0;37,0;304;103;156;45;88;137;79;339;441
2025-12-31;83;Oman;1490;128;1209;-7,0;-44,0;592;230;144;218;222;218;152;753;780
2025-12-31;84;Syria;1486;86;1428;9,0;49,0;596;125;223;248;222;226;148;853;755
2025-12-31;85;Guinea;1485;72;1516;-2,0;-5,0;643;172;263;208;251;209;183;951;800
2025-12-31;86;Palestine;1469;121;1254;18,0;62,0;290;19;111;160;84;128;78;370;446
2025-12-31;87;Curaçao;1466;97;1381;39,0;131,0;496;173;175;148;201;171;124;878;760
2025-12-31;88;Northern Cyprus;1457;84;1463;1,0;0,0;17;5;3;9;9;6;2;30;23
2025-12-31;89;Bulgaria;1453;41;1633;-5,0;-33,0;777;298;398;81;284;299;194;1081;1147
2025-12-31;90;Montenegro;1443;60;1600;-11,0;-77,0;170;89;76;5;56;72;42;198;234
2025-12-31;91;Suriname;1440;84;1404;29,0;84,0;542;231;222;89;239;174;129;985;738
2025-12-31;92;Benin;1428;109;1355;4,0;-1,0;349;129;142;78;85;180;84;361;614
2025-12-31;93;Libya;1425;82;1470;17,0;34,0;457;164;166;127;166;185;106;619;609
2025-12-31;93;Qatar;1425;93;1416;-15,0;-99,0;697;328;146;223;289;232;176;993;825
2025-12-31;93;Kurdistan;1425;100;1425;5,0;0,0;4;2;0;2;3;0;1;12;3
2025-12-31;96;Gambia;1424;118;1308;19,0;46,0;297;108;99;90;81;134;82;317;427
2025-12-31;97;Bahrain;1418;109;1348;-17,0;-91,0;636;218;158;260;223;247;166;780;824
2025-12-31;98;Kazakhstan;1410;101;1420;-4,0;-20,0;268;101;121;46;68;142;58;280;450
2025-12-31;99;Gabon;1405;95;1413;-7,0;-37,0;460;184;153;123;159;173;128;548;562
2025-12-31;100;Niger;1404;133;1238;31,0;84,0;288;100;117;71;65;156;67;286;514
2025-12-31;101;Trinidad and Tobago;1403;61;1505;8,0;9,0;867;344;363;160;375;300;192;1443;1113
2025-12-31;102;China;1402;50;1577;-1,0;-10,0;759;271;264;224;367;230;162;1416;857
2025-12-31;103;Luxembourg;1395;108;1256;-12,0;-50,0;471;256;199;16;52;357;62;303;1224
